variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
0.98_428.3145m/z,428.3144958,0.98065,100 - 67.1 - 25.4,0,2375.109278,2653.033502,3007.28246,8243.834006,1900.582659,2155.834115,2123.526856,3439.912576,2478.445183,1902.97526,0,3291.625834,4145.318977,40236.35656,2978.247555,3028.274588,2864.732488,2821.888911,4514.832584,4266.724536
1.16_436.2816m/z,436.2815564,1.158716667,97.6 - 100 - 66,0,38296.78566,43344.06392,4373.96938,6343.842327,33595.81248,36379.18552,42692.21514,42918.88035,39562.22449,7621.12893,0,14044.51132,16655.23744,15608.90767,7044.53899,1599.143604,1382.533358,3134.47498,2085.378049,3824.304102
1.34_261.5511m/z,261.5511306,1.3437,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23_265.5515m/z,265.5515,1.229433333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.10_204.1233m/z,204.1233292,2.097316667,100 - 17.9,0.315950927,1.262007577,3.256925435,0.908380742,1.83731832,1.208241295,0.308447082,1.386675056,3.920615673,2.065216096,1.663237949,1.061810482,1.224205864,1.02560167,1.982746845,1.238459858,2.630578765,1.218615679,2.696375864,1.908331369,0.961834022
1.23_265.4381m/z,265.4381053,1.229433333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12_896.7415n,895.7342546,1.123,100 - 53.3 - 44.1 - 20.9 - 11.7 - 4.15 - 3.52,0,1252.92152,1040.069038,1235.70946,1136.041818,661.6681732,559.5993992,540.8208098,820.2437991,675.3283683,1037.752987,0,1055.709201,1322.665259,4072.588753,1666.003871,1625.47694,678.6083499,1539.707931,1386.234322,2477.744581
1.24_407.4990m/z,407.4990447,1.243716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98_428.2523n,449.1497223,1.98375,100 - 32.2,2.454714303,0.750627745,0,35.74186325,0,0.26205546,0.371954699,1.724414441,0.431081275,0.21537838,0.030031325,112.0176409,0.35133373,0.00546596,0.747213289,0.650056235,0.883012783,0.712464992,0.325153794,0.542371249,0
1.16_453.4341m/z,453.4341096,1.158716667,100,0,0,0,0.446243292,0,0,0,0,0,0,0.034529144,0,0,0.282682565,0,0.010879996,0.16622037,0.206425329,0,0.420104194,0.594222262
4.21_692.3615m/z,692.3614592,4.209833333,100,0,0,0,0,0,0,0,0,0,0,138.0056869,0,0,0,0,0,0,0,0,0,0
1.71_952.2246m/z,952.224621,1.705816667,100,191.1112214,0,0,0,0,0,0.000700249,0.032224556,0,0.498669175,0,317.9572623,0,0,0,0,0.060724483,0.333761351,0.002912292,0,0
1.89_952.5532m/z,952.5531727,1.890916667,94 - 100 - 76,53788.86614,0,0,5468.319624,0,0,0,0,0,0,135.7059741,38942.12687,0,6.504587405,0,7.637248975,0,8.650045341,32.96759165,18.1785934,0
1.29_436.2801m/z,436.2801181,1.2937,91.3 - 100 - 67.6 - 82.4 - 28,0,21335.80865,28355.88458,4195.58593,8261.525596,18535.19887,21545.64869,20972.33851,29879.63138,20870.97355,7085.021626,0,11573.76601,9397.224474,70168.15522,5186.619228,1755.950512,1047.07171,2852.79707,1888.83266,2316.906199
2.08_601.3954n,582.3775472,2.083033333,100 - 54.5 - 15.6,0,0,0,83.12266218,0,0,0.364670093,0,0,0,0,0.13438558,0,0,0,0,0,0,0,0,0
1.07_198.1243n,197.1177321,1.072783333,100 - 18.7 - 4.58,1.81233899,2727.542735,3020.569788,4988.765115,2987.272046,397.4309517,579.1529822,2331.991546,1535.224837,3915.032356,896.561675,2.573142434,1505.127997,3818.171004,397.6232768,719.0714703,1369.574229,2031.382555,2015.775585,2952.633706,3616.247038
1.71_833.3047m/z,833.3047215,1.705816667,100 - 46.1,102.9133541,0.084849382,0.000321213,18.47421453,0.399620793,1.998300893,3.611367547,6.057481524,1.249084695,8.330449526,4.511550406,45.40817257,0.494336192,1.603197472,0.025135791,3.973439557,12.69436791,22.08709858,9.064922694,5.568512489,0
2.08_365.2631m/z,365.26306,2.083033333,100 - 21.2,0,0,0,0,0,0,0,0,0,0,0,16.93973729,0,0,0,0,0,0,0,0,0
1.17_349.3597m/z,349.3597035,1.16585,100,0,0,0,0,0,0,0,0,0,0,0.962229735,0,0,0,0,0,0,0.095766875,0,0,0
1.71_626.3439m/z,626.3438908,1.712966667,100 - 82.5 - 48.8,1514.915143,0,0,953.9668187,0,100.2310801,0,26.56472433,107.0615776,283.484001,85.33842576,2116.509848,252.7723221,41.9169023,1.052201428,0.009776395,0,0,43.2185745,23.13245202,0
2.08_620.3786m/z,620.378614,2.083033333,100 - 49 - 17.1,3.559549441,0,0,9.291167898,0,0,0,0,0,0,0,47.45076272,0,0,0,0,0,0,0,0,0
1.07_445.3411m/z,445.341053,1.06565,100 - 23,0,257.6139991,185.7415882,382.3544033,874.2653088,173.5382494,117.3192927,65.56690607,111.5802695,83.66268069,159.8603034,0,226.0581052,279.4557048,3929.056246,484.3645133,430.6457695,333.7886153,462.1865937,549.2747376,673.5619476
1.20_758.8389m/z,758.8389455,1.20085,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.75_557.3184m/z,557.3184152,1.748666667,100 - 59.3,152.0609811,234.9042405,0,7.48819596,0,2.702401248,0,0,0,36.1409609,11.89346413,39.02465627,232.378663,24.67171204,68.5419715,0,0.701047541,0,0,0,0
1.77_908.5018n,889.4839505,1.7701,100 - 80.9,9669.317836,1138.815679,962.8902583,3371.929259,1131.784775,1709.271664,1279.267838,1256.727426,993.1504412,1474.946383,1410.129754,5222.293083,1169.779232,1466.701429,1341.605582,1706.942755,1763.249499,1575.376769,1918.381309,1693.781099,1640.780027
1.24_407.5889m/z,407.588922,1.243716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27_810.6935m/z,810.6935372,1.272283333,100 - 23.7,0,0,0,0,0,0,0,0,0,0,0,0,0.459958541,0,0,0,0,0,0,0,0
1.07_177.1211m/z,177.1210713,1.072783333,100 - 1.43,0,133.2376097,129.2829163,174.3041927,223.0481896,58.82628432,54.98918342,40.85852769,103.1173334,74.27494444,84.04729411,0,91.36174793,117.3021391,213.8881157,82.99816362,90.34475592,42.89847487,118.1548002,115.153621,247.3346251
3.44_365.2553m/z,365.2552889,3.441883333,100 - 21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.78_427.3077m/z,427.3076528,1.784383333,100 - 21.6,2999.01145,0,13.41620097,18.33457209,0,41.73255821,6.597308714,6.168475183,17.83662025,20.95988527,19.05126693,497.7319284,5.204716185,0,11.11354054,9.156441021,6.85383099,37.56512492,14.89620223,11.16435957,0
1.99_655.2862m/z,655.2861673,1.9909,100 - 40.9 - 39.8,0,0,0,0,0,6.230422582,0,0,0,0,0,77.60441953,0,0,0,0,0,0,0,0,0
2.32_505.3747n,540.362871,2.317983333,100 - 30.5 - 6.71,0,0,0,7162.05139,0,0,0,0,0,0,0,9623.522722,0,0,0,0,0,0,0,0,0
3.61_258.1847m/z,258.1846739,3.612583333,100 - 13.8,0,0,0,1.140844321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.79_233.3870m/z,233.3869988,1.791516667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77_984.5890m/z,984.5890249,1.7701,100 - 97.7,6389.706196,557.1738824,428.7284953,826.1469234,366.5389091,797.1751131,590.9047627,977.9117328,609.8709076,1030.946515,546.1625807,2054.550797,829.6956933,578.6248829,389.5693668,613.1972888,723.4588273,917.5764285,738.5712541,665.0075602,318.5134644
1.73_169.8502m/z,169.8502111,1.72725,100,0,0,0,0,0,0,30.38635262,0,0,0,0,0,0,0,0,0,2.063447954,0,0,0,0
1.12_921.7498m/z,921.749815,1.115866667,100 - 56.3 - 60.4 - 34.8 - 18.9,0,1307.944078,1109.252515,879.19922,1099.425146,429.8730745,339.650891,392.4592482,493.7889571,320.4006974,1018.640914,0,1161.557515,1159.863503,1980.228546,1361.376674,1091.495613,485.3395076,756.2945663,1098.555246,2156.790792
1.32_217.3095m/z,217.3095269,1.322266667,100 - 3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.17_788.7089m/z,788.7088658,1.173,100,0,0,0,0,0,0,0,0,0,0,0,0,0.541271304,0,0,0,0,0,0.627849244,0.077812169,0.049412448
1.12_280.2399n,301.2165623,1.123,100 - 23.3,74.96558546,452887.4647,852594.9027,140434.4518,145851.4948,361953.4054,511893.7414,354343.9431,490686.4241,462466.8865,198852.5486,85.82299693,980824.347,301556.3422,149776.2976,131091.487,27412.03521,24617.04202,64440.60306,55499.0539,77149.68117
2.09_642.2884m/z,642.2884402,2.090166667,79.2 - 100 - 44.4,0,0,0,0,0,0,0,3.878028965,4.05540603,0,0,0.018366193,0,0,0,0,0,0,0,0,0
1.16_555.2839m/z,555.2838773,1.158716667,100 - 49.2 - 27 - 6.76,0,4184.663271,7313.875512,11259.55589,6905.791049,4066.557351,3558.211696,7280.330904,12220.38448,8760.864967,5030.339833,48.61187021,14463.39063,7465.188353,11044.43456,3116.842735,2818.18464,2447.337,4614.153772,5101.483793,3754.654938
2.09_524.3060m/z,524.3060005,2.090166667,100 - 42.1,6.335810735,0,0,29.56829847,0,0,0,0,0,0,0,10.78590321,0,0,0,0,0,0,0,0,0
1.12_538.4941n,537.4868049,1.123,100 - 49.5,0,893.7690902,657.7482675,948.1804424,1421.676676,444.0735667,504.2631222,293.1086509,492.9415692,429.5102246,698.5436806,0,446.1435087,1636.492485,919.2053032,1152.231655,1145.623069,440.837886,1124.18503,1007.376373,1813.046831
1.76_665.0480m/z,665.0480353,1.755816667,100 - 34.9,1188.556928,1134.905696,955.4237813,2790.177166,1237.710781,1193.57341,712.9798683,1427.26102,753.0667544,1502.74752,720.3949385,2108.616071,1281.622532,1134.333077,1602.322687,1036.803649,1118.927666,1420.489124,1101.396511,989.5688263,1370.797832
1.15_203.2172m/z,203.217176,1.151566667,100 - 1.4,0,0,4.70403115,0,0,5.181534936,5.619400893,5.775772764,8.380051452,5.216124405,30.22896165,0,16.08439286,0,0,1.816476268,0,0,0,0,0
1.76_795.5549m/z,795.5548796,1.76295,70.7 - 100 - 59.5 - 53 - 39,53246.73032,2388.390099,1392.907325,4799.356135,1843.391015,1737.79793,1449.166266,2077.232468,1258.72091,2116.013597,1825.763782,18735.69064,2079.686981,2413.34566,2312.667612,2170.120089,2670.861084,2606.858485,2800.936342,2391.170907,2691.420246
1.93_339.3600m/z,339.3600182,1.933766667,100 - 17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12_737.5350m/z,737.5349696,1.123,100 - 2.31,0,195.7631552,163.1078425,234.894074,384.6761094,142.3977075,156.9353504,127.3526942,150.6427062,125.4966425,212.8169039,33.22931172,171.9569721,207.2323987,560.2160004,368.6943584,472.0884407,176.9446552,579.5346492,200.9501592,724.8011808
