variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
1.11_294.2543n,315.2329476,1.108716667,100 - 22.5 - 26.9,1469.390669,826.4642589,643.799638,692.9056116,1002.333945,1250.528455,1363.569841,1295.723836,1251.088011,1648.174244,810.9710138,1084.399267,838.8591367,1330.136463,889.2628785,948.6472076,0,1437.924502,1064.552961,1364.613359,3063.082366,1013.910179,1205.30464,1272.814657
1.12_596.4404m/z,596.4403631,1.115866667,99.3 - 100 - 51.5,1229.329561,1702.057431,1492.876916,1560.354762,1514.131173,1218.531564,1180.573147,2303.985953,2618.678061,2185.416712,1534.895646,1687.279745,1612.092563,1629.351286,1454.027597,1587.043093,5.950316168,2522.247574,2982.701053,1223.771698,3410.68616,2387.59961,2186.126409,2459.106501
0.99_623.4535m/z,623.4535275,0.994933333,100 - 66.5 - 93.4 - 56.7 - 82.5 - 48.7 - 42.4 - 79.1,11419.64521,12414.1978,16918.91979,15366.57398,16326.49694,10423.78277,13670.59155,20515.10098,24795.20785,13416.15854,13647.69764,24243.97112,18683.50094,17541.3986,12908.6665,17169.75308,165.988535,26352.75757,20635.67666,11724.13059,24380.60499,19630.00899,27304.92336,30248.16166
0.95_412.8896m/z,412.8895897,0.952083333,100 - 17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028064631,0,0,0,0,0,0,0,0,0,0
0.98_763.5218m/z,763.5218081,0.98065,100 - 38.6,1497.744088,1672.674411,1321.105453,1658.246373,1520.390199,1395.703851,1381.973022,1988.237944,2125.707979,1848.243382,1656.215442,1951.957991,1710.944757,2165.783155,1634.27656,2808.539604,0,2594.494984,2456.466777,1372.787114,1733.6278,2204.99641,1984.736357,2095.227138
1.06_749.6565m/z,749.6564721,1.0585,100 - 45.1 - 12.2,0.224380787,0,0,0,0,0.020826023,1.930723552,0.085590633,0.099657157,0,0,1821.613936,0.001701024,3.635041012,0.07083362,0,0,0.012424479,51.4532806,0.173331781,18.75384585,0,0.05130065,0
1.08_826.5921m/z,826.5921365,1.079916667,100 - 52 - 33.5 - 8.44,19770.92744,31257.17617,23312.5891,47004.85661,25965.62617,24742.28221,24898.20935,35026.70009,71018.77292,54315.4073,51047.66333,43982.26135,38509.14081,58261.2574,38125.12219,46661.07049,26.90443902,110491.029,55929.57591,19739.17266,59196.38695,53388.52662,33344.42226,67012.92252
1.09_689.5526m/z,689.5526446,1.094216667,100 - 46.2,452.7795221,1416.591507,351.9767548,1333.520514,727.4652319,832.2541762,324.0338236,879.1413243,1717.063762,1658.982466,1060.560482,1049.116928,1305.509466,2388.20669,1868.89747,3348.009147,0,2398.695113,1950.881709,809.3462776,1513.405087,2172.672344,706.1586448,1272.692117
0.97_776.5497m/z,776.5497393,0.9735,100 - 47.6 - 55.4,1936.892218,2789.910748,2372.868914,3204.08534,2007.914797,2186.132744,1631.593991,2823.061118,3567.355259,3564.102827,1968.039509,2250.223965,2099.861067,3543.07166,1922.845314,3355.540588,0,3426.437361,3452.85932,2408.2318,3409.988224,4925.513128,4704.249177,3868.198587
1.06_277.1482m/z,277.1481856,1.0585,100 - 5.33 - 5.32 - 0.512,450.5499161,844.4951484,649.1872832,345.995979,328.9864139,388.9700829,385.0800841,474.4890675,394.3285638,1000.302234,669.4043705,344.229879,382.9938641,333.6464858,459.143818,158.9095973,49.28090217,292.3809775,876.3507062,798.9421949,683.905912,1235.286195,830.1145473,338.215385
